    ,SUFICIENCIA PATRIMONIAL,( PATRIMONIO + RESULTADOS ) / ACTIVOS INMOVILIZADOS,ESTRUCTURA Y CALIDAD DE ACTIVOS,ACTIVOS IMPRODUCTIVOS NETOS / TOTAL ACTIVOS,ACTIVOS PRODUCTIVOS / TOTAL ACTIVOS,ACTIVOS PRODUCTIVOS / PASIVOS CON COSTO,INDICES DE MOROSIDAD,MOROSIDAD DE LA CARTERA DE CREDITO PRODUCTIVO,MOROSIDAD DE LA CARTERA DE CONSUMO,MOROSIDAD DE LA CARTERA DE CREDITO INMOBILIARIO,MOROSIDAD DE LA CARTERA DE MICROCREDITO,MOROSIDAD DE LA CARTERA DE VIVIENDA DE INTERES SOCIAL Y PUBLICO,MOROSIDAD DE LA CARTERA DE CREDITO EDUCATIVO,MOROSIDAD DE LA CARTERA TOTAL,COBERTURA DE PROVISIONES PARA CARTERA IMPRODUCTIVA,COBERTURA DE LA CARTERA DE CREDITO PRODUCTIVO,COBERTURA DE LA CARTERA DE CREDITO CONSUMO,COBERTURA DE LA CARTERA DE CREDITO INMOBILIARIO,COBERTURA DE LA CARTERA DE MICROCREDITO,COBERTURA DE LA CARTERA DE VIVIENDA DE IINTERES PUBLICO,COBERTURA DE LA CARTERA DE CREDITO EDUCATIVO,COBERTURA DE LA CARTERA PROBLEMÁTICA,EFICIENCIA MICROECONOMICA,GASTOS DE OPERACION ESTIMADOS / TOTAL ACTIVO PROMEDIO ,GASTOS DE OPERACION  / MARGEN FINANCIERO,GASTOS DE PERSONAL ESTIMADOS / ACTIVO PROMEDIO ,RENTABILIDAD,RESULTADOS DEL EJERCICIO / PATRIMONIO PROMEDIO,RESULTADOS DEL EJERCICIO / ACTIVO PROMEDIO,INTERMEDIACION FINANCIERA,CARTERA BRUTA / (DEPOSITOS A LA VISTA + DEPOSITOS A PLAZO),EFICIENCIA FINANCIERA,MARGEN DE INTERMEDIACIÓN ESTIMADO / PATRIMONIO PROMEDIO,MARGEN DE INTERMEDIACIÓN ESTIMADO / ACTIVO PROMEDIO,RENDIMIENTO DE LA CARTERA,RENDIMIENTO DE LA CARTERA DE CREDITO PRODUCTIVO POR VENCER,RENDIMIENTO DE LA CARTERA DE CREDITO CONSUMO,RENDIMIENTO DE LA CARTERA DE CREDITO INMOBILIARIO POR VENCER,RENDIMIENTO DE LA CARTERA DE MICROCREDITO POR VENCER,RENDIMIENTO DE LA CARTERA DE VIVIENDA DE IINTERES PUBLICO POR VENCER,RENDIMIENTO DE LA CARTERA DE CREDITO EDUCATIVO POR VENCER,CARTERAS DE CRÉDITOS  REFINANCIADAS,CARTERAS DE CRÉDITOS  REESTRUCTURADAS,CARTERA POR VENCER TOTAL,LIQUIDEZ,FONDOS DISPONIBLES / TOTAL DEPOSITOS A CORTO PLAZO ,VULNERABILIDAD DEL PATRIMONIO,CARTERA IMPRODUCTIVA DESCUBIERTA / (PATRIMONIO + RESULTADOS),CARTERA IMPRODUCTIVA / PATRIMONIO (DIC),FK = (PATRIMONIO + RESULTADOS - INGRESOS EXTRAORDINARIOS) / ACTIVOS TOTALES,FI = 1 + (ACTIVOS IMPRODUCTIVOS / ACTIVOS TOTALES),INDICE DE CAPITALIZACION NETO: FK / FI
DE LA PEQUEÑA EMPRESA CACPE LOJA LTDA,,4.558391997622822,,0.0446208318117508,0.9553791681882493,1.171698050573233,,0,0.04889774493156578,3.98798469839e-06,0.05851356689551236,0,0,0.05024061114715703,,0,1.4389717281864143,2869.0488888888885,1.168652966172367,0,0,1.3611939010091318,,0.04458457264680787,0.8908392508739492,0.01755903762471878,,0.0650152267481741,0.01044758892191779,,0.8791067757785131,,0.03399779703627547,0.00546325876954318,,0,0.15078680539107986,0.07782958165444676,0.16324693914122812,0,0,0,0.14635892209114837,0.15416095304957034,,0.30883788683383623,,0,0.23297543278309027,0.15110542130153062,1.0446208318117507,0.14465097449709013
DE LA PEQUEÑA EMPRESA DE COTOPAXI LIMITADA,,-233.71533025284137,,0.02528387885124495,0.9747161211487549,1.2823238007248734,,0.02984009877960023,0.07249856266845263,0.05641217661500033,0.1573972873348611,0,0,0.11086513643942562,,3.3227324971077947,1.649998006863503,1.6223388496347713,1.364274853820842,0,0,1.470407310079906,,0.02571838594881068,0.5997100575294301,0.0109452828734175,,0.08576856733697194,0.01729680624527552,,0.7714737323969422,,0.08512150440599053,0.0171663141256892,,0.10814845909382095,0.14925773247241092,0.10130765163266461,0.1723933796446363,0,0,0.1663025456724454,0.18983927028473974,0.1605162940386911,,0.3741241405041293,,0,0.31101849881163146,0.20206422275710403,1.025283878851245,0.1970812444486127
DE LA PEQUEÑA EMPRESA DE PASTAZA LIMITADA,,7.345110098232992,,0.06931767287142836,0.9306823271285717,1.1648903820667704,,0,0.03440226535558208,0.01078750815574451,0.05915742443533694,0,0,0.04798796333476976,,0,1.3592941030732986,1.5818393981155625,1.2112126821198173,0,0,1.2870021179112405,,0.03656153371437577,0.7340983937373634,0.01927912981523172,,0.05977265258443448,0.00957435564338077,,0.8509499197128053,,0.08267687758152961,0.01324314373252286,,0,0.15401133413619594,0.09956396560049353,0.16561130974346827,0,0,0.1886471568033889,0.23799810860984272,0.15999690457640225,,0.34401130958895715,,0,0.206442563883716,0.1625758372491161,1.0693176728714284,0.15203698711212055
DE LA PEQUEÑA EMPRESA GUALAQUIZA,,6.2572236741796505,,0.05926441067142042,0.9407355893285796,1.0928166144598666,,0,0.03848559198783775,4.19678123876e-06,0.03648233555173338,0,0,0.03675821465944835,,0,1.5475976710900288,3586.2287499999998,1.5485414233525092,0,0,1.5557181633568073,,0.03753339052689939,0.7945991864863967,0.01487043399192726,,0.09331932182534862,0.01046578690061817,,0.8066446197336206,,0.08651103886079192,0.00970223614529321,,0,0.15325412601584565,0.10281944257391967,0.1566497138114769,0,0,0.02025599974009176,0.17080020281419084,0.1564898596202588,,0.4202679852974869,,0,0.2353131936628451,0.11022228365614749,1.0592644106714204,0.10405549600810482
DE LOS SERVIDORES PUBLICOS DEL MINISTERIO DE EDUCACION Y CULTURA,,11.281626167017999,,0.04242172143614827,0.9575782785638518,1.3166834437809387,,0,0.01254519267326786,0,0,0,0,0.01254519267326786,,0,2.2062418340337615,0,0,0,0,3.094493158546799,,0.03297609876917854,0.5377469214576973,0.00792716004805884,,0.07178027412990998,0.0171264321434054,,1.4382172273728913,,0.11880627215876813,0.02834661169802152,,0,0.11735636495559844,0,0,0,0,0.1163519725127536,0.11230487315985448,0.11807957973724942,,0.34507943340772307,,0,0.04284606833214503,0.24412702988168675,1.0424217214361482,0.2341921938707801
EL SAGRARIO LTDA,,4.174267688478726,,0.06309233220881835,0.9369076677911816,1.131291713003889,,0.04891769967853267,0.08188637878961672,0.04912631433049516,0.14068301229203226,0,0,0.09023160589885795,,0.858976686445663,1.1388295891553462,1.0783758067991807,1.0729475068256686,0,0,1.1159548594384388,,0.02940560971108667,0.921398197966641,0.01324408008369051,,0.04856418373937023,0.00713630738029214,,0.5781173028028934,,0.01707095739912797,0.0025085070909426,,0.10287332205573385,0.14638138926662242,0.10272190095044526,0.16291177763459308,0,0,0.1390223991861818,0.1555675168662854,0.1492891629608736,,0.37254078642034244,,0,0.3064330977188562,0.13849869670429393,1.0630923322088184,0.13027908537025293
ERCO LIMITADA,,7.3413154058229315,,0.05563055875153726,0.9443694412484627,1.1581064816449456,,0,0.05777662709322386,0.0259257768672649,0.12372360379948945,0,0,0.08324138969439833,,0,1.2758692945913084,1.0050039673206628,1.084725329943965,0,0,1.161945743090829,,0.04213119230020949,0.8992282129917385,0.022085189631879,,0.04092436949820023,0.00627428441491112,,0.8123243656265415,,0.03079573552062834,0.00472142163195209,,0,0.15579566892623664,0.08752388719613058,0.1572844581113737,0,0,0.17459265155708703,0.18444719166922036,0.1587634831462686,,0.2537163508496914,,0,0.3446734184379305,0.14245309852677507,1.0556305587515373,0.1349459783498974
FERNANDO DAQUILEMA LIMITADA,,2.7148153150717222,,0.06272886879352679,0.9372711312064731,1.0538628539019952,,0.01625676096009147,0.05287635367003593,0.02831861979837,0.08277826734622246,0,0,0.07089813298639684,,0.8417342439536343,0.9298114326553002,0.9780156194911084,1.0132699567162842,0,0,0.9942598550293854,,0.03576827802433993,1.1327685741370688,0.01607624028092088,,8.235678239413e-05,7.69167849355e-06,,0.768158446529783,,-0.0448880128213153,-0.0041922978630013,,0.10858883477782026,0.14942295815936257,0.09417245685071907,0.16869708388936372,0,0,0,0.17442246174202192,0.16115282760149413,,0.5411573073591578,,0.00289903905089342,0.5050858159027112,0.08794026528441823,1.0627288687935268,0.08274948377402531
INDIGENA SAC LTDA,,1.6071930983164453,,0.09284389473035591,0.9071561052696442,1.0312029682119723,,0,0.03317814440394042,0.15871312602471033,0.09062854014630962,0,0,0.07360584095150655,,0,1.2424695441340874,0.7592806603773585,1.0060298793452285,0,0,1.0375644950430027,,0.04496984225781235,1.0177255995274963,0.02226111896396691,,0.0101758242424678,0.00094701651852162,,0.9138694893702437,,-0.00841595958807348,-0.00078323412032353,,0,0.14844224451781474,0.37585482282538474,0.17192113625794314,0,0,0.15878951880989212,0.15882274587548967,0.171606194101036,,0.26166905121291684,,0,0.5908969133062796,0.0967740949153439,1.0928438947303558,0.08855253287499179
JARDIN AZUAYO LIMITADA,,-22.964340108619584,,0.03858027717353565,0.9614197228264645,1.101338747659675,,0.08650343506490543,0.06067298465625765,0.035349308601898,0.07656911778473406,0,0,0.06341101803849139,,1.0917348485775407,2.213209713591822,1.0036471171631025,1.4393912690390038,0,0,1.9722522582181743,,0.03476455406192942,0.8871975448494367,0.01657056332012823,,0.04120573584541992,0.00464431226178749,,0.7056705531681845,,0.03921670902743145,0.00442012838422094,,0.09728831983723991,0.14170073175004766,0.09244098488651337,0.13994849923359498,0,0,0.1589054883942853,0.30350598952578833,0.1482685634135752,,0.49234032750864243,,0,0.3635394088606748,0.10308240995302782,1.0385802771735357,0.0992531942100455
JUVENTUD ECUATORIANA PROGRESISTA LIMITADA,,2.2541285338083457,,0.09442685569097627,0.9055731443090235,1.0385830223337582,,0.00176028609974087,0.0746619681489743,0.05278755188361528,0.12846191922938258,0,0,0.06926300914251807,,12.12260140704269,1.033651372037352,0.9770052704690433,0.932154251673443,0,0,1.0283847324649549,,0.03061395424311589,0.8912974509621073,0.01146222459632593,,0.07341643211215984,0.00747893927880605,,0.6956504317412221,,0.03665133179560429,0.00373367483410158,,0.10332382569355461,0.15409486519139215,0.10449810587098764,0.15883394592065414,0,0,0.17875938076236964,0.17052486377495035,0.14394699330157196,,0.323020239292213,,0,0.4225163764047319,0.09766708681809311,1.0944268556909762,0.08924039675217045
KULLKI WASI LTDA,,1.358129462826579,,0.10737688868440877,0.8926231113155915,1.0142276236761198,,0,0.03374504332963158,0,0.12205922759742144,0,0,0.09677006312350732,,0,0.7959300958626292,0,0.6649431167631809,0,0,0.6780229169998947,,0.03760493473486053,1.2564066228981314,0.01745413204672286,,0.00080037856280394,7.276718698237e-05,,0.8208037491264506,,-0.08441190909923321,-0.00767438991799393,,0,0.14812399507136348,0,0.16087567460238034,0,0,0.1671486770685774,0.14653770063993798,0.16458816215839395,,0.35521285855412604,,0.23056547536567906,0.7166270093770482,0.08858845750633007,1.1073768886844089,0.07999847063051438
LA MERCED LIMITADA,,1.42088151252689,,0.10552371048276353,0.8944762895172363,1.0065417322528423,,0.07103122455165893,0.04455708616218129,0.02150430732593059,0.09699479169731492,0,1,0.06384767299243242,,0.9533669337663334,0.848124204017875,0.6493491378913357,0.7579876239704149,0,1,0.7968931339080659,,0.05292659735865027,0.9922493605504945,0.03229005071094689,,0.00766172251225499,0.00071711474575524,,0.823183889629446,,0.00441701065668712,0.00041341923686246,,0.06649326749050455,0.15250450728782378,0.10848669445444524,0.18968877237915438,0,0,0.19202478218860058,1.4541158566273542,0.17462502285911535,,0.36579217978310086,,0.1019963517460896,0.5061996973248911,0.08502776040509469,1.1055237104827635,0.07691174743594102
LUCHA CAMPESINA,,3.467572054223648,,0.08532657768191244,0.9146734223180876,1.0588864019919255,,0,0.01786641302340659,0.00010243529674481,0.02785931317118775,0,0,0.02505657703039496,,0,1.5404402687929994,71.28,1.2531648764689893,0,0,1.3105470119548541,,0.06579720947359013,0.901870502490397,0.02823563224203995,,0.04910733122711485,0.00563226370146921,,0.8604715343857324,,0.06242035294293846,0.00715917316881781,,0,0.1503724208417923,0.06664732193273727,0.18008024635451292,0,0,0.17539599252245847,0,0.17310320995003453,,0.24564715091108902,,0,0.1621045764850028,0.1128951130280346,1.0853265776819125,0.10401948625376968
MUSHUC RUNA LTDA,,2.690625402243339,,0.08245137757756928,0.9175486224224308,1.0707267189536285,,0.10579034867627267,0.06505892507746364,0.01106192331633903,0.12677521925238866,0,0,0.08650278315904081,,0.7880134292821722,1.0679184622659783,2.4702630336207467,1.1518156972654174,0,0,1.1424282556975702,,0.03723511537089154,1.042061047145531,0.01254577406599372,,0.01623028798675357,0.0020247443964923,,0.8153944238556626,,-0.01204746414954087,-0.00150293300701953,,0.0860068857618509,0.1473894787277904,0.09664426032052509,0.18769559058031735,0,0,0.15311923062331517,0.24925634073082104,0.16627274291797395,,0.3821297481045819,,0,0.493423946662084,0.1166541233131801,1.0824513775775693,0.1077684649210219
ONCE DE JUNIO LTDA,,2.121170973718842,,0.10372093426944094,0.8962790657305589,1.0561209829273999,,0,0.10968965435053007,0.08018660691605277,0.1562633988563887,0,0,0.1307844272993009,,0,1.0037212561461046,0.8882218734403579,0.9664650637545721,0,0,0.9710378410980053,,0.04667164874795072,1.3546381305467348,0.02010542073559909,,-0.01702978981164991,-0.0022756220289783,,0.8251009013961199,,-0.09143751920518692,-0.01221842637400651,,0.08877373895182122,0.13877021059527717,0.0964398271945921,0.16630703433931565,0,0,0.1646497162698743,0.16189120137945423,0.16632135721889996,,0.31902973497775927,,0.02011542697896742,0.6827094588315983,0.12009071001524883,1.103720934269441,0.10880532051767011
OSCUS LIMITADA,,2.0827819706272344,,0.1027407894333751,0.8972592105666249,1.0682912936426558,,0.07126429107311508,0.08876903505853825,0.02880244394345706,0.1345049688629586,0,0,0.10679864126464991,,0.771188864566033,1.0234914728352955,1.6106093264779935,1.0482938705221148,0,0,1.0569472651569727,,0.03332495327625641,1.126358698665579,0.01262817255221417,,0.00676409958575393,0.0008620773178039,,0.7898111713655118,,-0.02933335585344434,-0.00373850509084515,,0.10572826445096052,0.14935071103892888,0.10161189378042529,0.1698580347570972,0,0,0.10520218134392319,0.10142969218399397,0.16008575851214513,,0.3261718747536186,,0,0.518915761933923,0.12996664772941405,1.1027407894333752,0.1178578401876249
PABLO MUÑOZ VEGA LIMITADA,,0.8339728675466433,,0.12734481771669634,0.8726551822833037,0.9727021738397003,,0.4881887520302854,0.05381437167531102,0.03730140587947522,0.12526440456371796,0,0,0.07456900118224558,,0.00018813568032739,0.35133682778025943,0.33879756536833194,0.254836004156865,0,0,0.2906072060677721,,0.03656463184908807,1.3614081595317722,0.0145304915037387,,0.00070501642973191,5.303823852494e-05,,0.7577370802020735,,-0.12902710562001146,-0.00970668216435597,,0.10128758190934875,0.147129816964064,0.08861602604060553,0.15460078712450664,0,0,0.13070392134451564,0.1645424577021849,0.14422248898670592,,0.3595979486830852,,0.44909807937532725,0.6334989673944872,0.06606390197849027,1.1273448177166963,0.05860132671057548
PADRE JULIAN LORENTE LTDA,,1.4307395573344732,,0.12328916090683191,0.876710839093168,1.0122416878563067,,0.8333333333333334,0.0401951005341654,0.02073283536434517,0.07420372620697611,0,0,0.04936148295173625,,1.2,0.903350852911052,0.4051816362348101,0.8904776706086456,0,0,0.8931164175184918,,0.0595002424384747,1.0083970333336538,0.02422392338234948,,0.01579574524957971,0.00162695933140672,,0.8844130725477234,,-0.00481034778747562,-0.00049546508230458,,0,0.15267160646152916,0.10511963339088995,0.17013574446807694,0,0,0.2012385612725569,0.37016541846278184,0.1591590123340848,,0.251510394858185,,0.03732389794756828,0.35450582640006423,0.09964773257145249,1.1232891609068318,0.08871066866790278
PILAHUIN TIO LIMITADA,,0.4265541209369044,,0.23354030208016502,0.7664596979198348,0.8628908687854502,,0,0.02381726922338503,0,0.03858767734439558,0,0,0.03287348433851065,,0,1.0913518740548438,0,1.335037907181078,0,0,1.2676564568513158,,0.04812664090695037,1.7077183393553943,0.01323154801686562,,0.00242348193706908,0.0002039899660791,,0.6741952708543862,,-0.23695219662453723,-0.01994480330654342,,0,0.15735986026897397,0.11246959486123365,0.19365067978771988,0,0,0,0,0.18115780784573748,,0.5235445948691415,,0,0.24896205064516483,0.05413597124997558,1.233540302080165,0.04388666601219601
